player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Kelly Oubre,15625000.00,14375000.00,0.00,0.00
Dennis Schroeder,15500000.00,15500000.00,0.00,0.00
Ian Mahinmi,15450051.00,0.00,0.00,0.00
James Johnson,15349400.00,16047100.00,0.00,0.00
Marvin Williams,15006250.00,0.00,0.00,0.00
Marcus Morris,15000000.00,0.00,0.00,0.00
Bobby Portis,15000000.00,15750000.00,0.00,0.00
Danny Green,14634147.00,15365853.00,0.00,0.00
Rudy Gay,14500000.00,14500000.00,0.00,0.00
Cody Zeller,14471910.00,15415730.00,0.00,0.00
Eric Gordon,14057730.00,16869267.00,18218818.00,19568360.00
Mason Plumlee,14041096.00,0.00,0.00,0.00
JJ Redick,13486300.00,13013700.00,0.00,0.00
Jordan Clarkson,13437500.00,0.00,0.00,0.00
Dewayne Dedmon,13333334.00,13333333.00,13333333.00,0.00
Solomon Hill,13290395.00,0.00,0.00,0.00
Justise Winslow,13000000.00,13000000.00,13000000.00,0.00
Michael Kidd-Gilchrist,13000000.00,0.00,0.00,0.00
Thaddeus Young,12900000.00,13545000.00,14190000.00,0.00
Will Barton,12776786.00,13723214.00,14669642.00,0.00
Courtney Lee,12759670.00,0.00,0.00,0.00
Larry Nance Jr,12727273.00,11709091.00,10690909.00,0.00
Kelly Olynyk,12667885.00,13598243.00,0.00,0.00
Marcus Smart,12553571.00,12946428.00,13839285.00,0.00
Terrence Ross,12500000.00,13500000.00,12500000.00,11500000.00
Patrick Mills,12428571.00,13285714.00,0.00,0.00
Miles Plumlee,12400000.00,0.00,0.00,0.00
Patrick Beverley,12345680.00,13333333.00,14320987.00,0.00
Trevor Ariza,12200000.00,12800000.00,0.00,0.00
Dion Waiters,12100000.00,12650000.00,0.00,0.00
Brook Lopez,12093024.00,12697675.00,13302325.00,13906976.00
Jusuf Nurkic,12000000.00,12888889.00,12000000.00,0.00
Cory Joseph,12000000.00,12600000.00,12600000.00,0.00
Joe Ingles,11454546.00,10363637.00,12436364.00,0.00
Tony Snell,11392857.00,12178571.00,0.00,0.00
Robert Covington,11301219.00,12138345.00,12975471.00,0.00
Meyers Leonard,11286515.00,0.00,0.00,0.00
Moe Harkless,11011234.00,0.00,0.00,0.00
TJ Warren,10810000.00,11750000.00,12690000.00,0.00
Andre Roberson,10740740.00,0.00,0.00,0.00
Spencer Dinwiddie,10605600.00,11454048.00,12302496.00,0.00
Jeremy Lamb,10500000.00,10500000.00,10500000.00,0.00
Dwight Powell,10259375.00,11080125.00,11080125.00,11080125.00
George Hill,10133907.00,9590602.00,10047297.00,0.00
Josh Richardson,10116576.00,10865952.00,11615328.00,0.00
Norman Powell,10116576.00,10865952.00,11615328.00,0.00
Tomas Satoransky,10000000.00,10000000.00,10000000.00,0.00
Nenê,10000000.00,10000000.00,0.00,0.00
DeAndre Jordan,9881598.00,10375678.00,9881598.00,9821842.00
Zion Williamson,9757440.00,10245480.00,10733400.00,13534817.00
Markelle Fultz,9745200.00,12288697.00,15975306.00,0.00
John Henson,9732396.00,0.00,0.00,0.00
Matthew Dellavedova,9607500.00,0.00,0.00,0.00
Dante Exum,9600000.00,9600000.00,0.00,0.00
Deandre Ayton,9562920.00,10018200.00,12632950.00,16422835.00
Delon Wright,9473684.00,9000000.00,8526316.00,0.00
Jerami Grant,9346153.00,9346153.00,0.00,0.00
Fred VanVleet,9346153.00,0.00,0.00,0.00
Al-Farouq Aminu,9258000.00,9720900.00,10183800.00,0.00
Tyus Jones,9258000.00,8817143.00,8376286.00,0.00
Kyle Anderson,9073050.00,9505100.00,9937150.00,0.00
Taj Gibson,9000000.00,9450000.00,0.00,0.00
Ja Morant,8730240.00,9166800.00,9603360.00,12119440.00
CJ Miles,8730158.00,0.00,0.00,0.00
Lonzo Ball,8719320.00,11003782.00,14359935.00,0.00
E'Twaun Moore,8664928.00,0.00,0.00,0.00
Marvin Bagley,8556120.00,8963640.00,11312114.00,14762308.00
Bogdan Bogdanovic,8529386.00,0.00,0.00,0.00
PJ Tucker,8349039.00,7969537.00,0.00,0.00
Cristiano Felicio,8156500.00,7529020.00,0.00,0.00
Ben Simmons,8113929.00,29000000.00,31320000.00,33640000.00
Kentavious Caldwell-Pope,8089282.00,8493746.00,0.00,0.00
Thomas Bryant,8000000.00,8333333.00,8666667.00,0.00
Maxi Kleber,8000000.00,8250000.00,8750000.00,9000000.00
Louis Williams,8000000.00,8000000.00,0.00,0.00
Wayne Ellington,8000000.00,8000000.00,0.00,0.00
Elfrid Payton,8000000.00,8000000.00,0.00,0.00
RJ Barrett,7839960.00,8231760.00,8623920.00,10900634.00
Jayson Tatum,7830000.00,9897120.00,12985021.00,0.00
Jae Crowder,7815533.00,0.00,0.00,0.00
Ryan Anderson,7779336.00,5214583.00,5214583.00,0.00
Luka Doncic,7683360.00,8049360.00,10174391.00,13348800.00
Joe Harris,7666667.00,0.00,0.00,0.00
Pau Gasol,7639609.00,0.00,0.00,0.00
Seth Curry,7461380.00,7834449.00,8207518.00,8496653.00
Doug McDermott,7333333.00,7333333.00,0.00,0.00
Langston Galloway,7333333.00,0.00,0.00,0.00
Derrick Rose,7317074.00,7682926.00,0.00,0.00
Brandon Ingram,7265485.00,9481458.00,0.00,0.00
Darius Miller,7250000.00,7000000.00,0.00,0.00
DJ Augustin,7250000.00,0.00,0.00,0.00
De'Andre Hunter,7068360.00,7422000.00,7775400.00,9835881.00
Josh Jackson,7059480.00,0.00,0.00,0.00
Ersan Ilyasova,7000000.00,7000000.00,0.00,0.00
DeMarre Carroll,7000000.00,6650000.00,7000000.00,0.00
Davis Bertans,7000000.00,0.00,0.00,0.00
