player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Alex Caruso,2750000.00,2750000.00,0.00,0.00
Malik Beasley,2731713.00,3895423.00,0.00,0.00
Luka Samanic,2689920.00,2824320.00,2959080.00,4556983.00
John Collins,2686560.00,4137302.00,5899793.00,0.00
Kevin Huerter,2636280.00,2761920.00,4253357.00,6065287.00
Caris LeVert,2625717.00,16203704.00,17500000.00,18796296.00
Marko Guduric,2625000.00,2750000.00,0.00,0.00
DeAndre Bembry,2603981.00,3752337.00,0.00,0.00
Matisse Thybulle,2582160.00,2711280.00,2840160.00,4379526.00
Harry Giles,2578800.00,0.00,0.00,0.00
Rajon Rondo,2564753.00,2692991.00,0.00,0.00
Wesley Matthews,2564753.00,2692991.00,0.00,0.00
Vince Carter,2564753.00,0.00,0.00,0.00
Wilson Chandler,2564753.00,0.00,0.00,0.00
Jose Juan Barea,2564753.00,0.00,0.00,0.00
Tyson Chandler,2564753.00,0.00,0.00,0.00
Gerald Green,2564753.00,0.00,0.00,0.00
Thabo Sefolosha,2564753.00,0.00,0.00,0.00
Jared Dudley,2564753.00,0.00,0.00,0.00
Udonis Haslem,2564753.00,0.00,0.00,0.00
Anthony Tolliver,2564753.00,0.00,0.00,0.00
Jeff Green,2564753.00,0.00,0.00,0.00
Josh Okogie,2530680.00,2651040.00,4087904.00,5857966.00
Vincent Poirier,2505793.00,2619207.00,0.00,0.00
Rondae Hollis-Jefferson,2500000.00,0.00,0.00,0.00
Brandon Clarke,2478840.00,2602920.00,2726880.00,4343919.00
Terrance Ferguson,2475840.00,3944013.00,5683323.00,0.00
Grayson Allen,2429400.00,2545320.00,4054695.00,5842815.00
Grant Williams,2379840.00,2498760.00,2617800.00,4306281.00
Jarrett Allen,2376840.00,3909902.00,5661538.00,0.00
Pascal Siakam,2351838.00,29000000.00,31320000.00,33640000.00
Skal Labissiere,2338846.00,3484881.00,0.00,0.00
Chandler Hutchison,2332320.00,2443440.00,4019459.00,5820176.00
Dejounte Murray,2321735.00,14286000.00,15428880.00,16571120.00
Alec Burks,2320044.00,0.00,0.00,0.00
Isaiah Thomas,2320044.00,0.00,0.00,0.00
